station_id,station_name,city,state,lat,lon,timestamp,PM2.5,PM10,NO2,SO2,CO,O3,NH3,reported_aqi,reported_aqi_category,reported_dominant_pollutant,aqi_is_valid,aqi_quality_flag,temperature_2m,relative_humidity_2m,rain,wind_speed_10m,cloud_cover,weather_trapping_score,weather_trapping_category,landuse_type_proxy,landuse_data_source,urban_pressure_score,road_density_proxy,environmental_risk_score,pm10_pm25_ratio,pm25_pm10_ratio,no2_co_ratio,o3_no2_ratio,source_score_vehicular_traffic,source_score_industrial_combustion,source_score_construction__road_dust,source_score_biomass__fine_particle_combustion,source_score_photochemical_smog,primary_pollution_source,primary_source_score,secondary_source_score,source_score_gap,source_attribution_confidence,source_attribution_confidence_category,source_evidence,landuse_source_alignment,recommended_intervention,notebook_03_processed_time,forecast_reference_timestamp,forecast_aqi_next,forecast_aqi_p10,forecast_aqi_p50,forecast_aqi_p90,forecast_category,current_aqi,current_aqi_category,forecast_aqi_category,forecast_aqi_change,forecast_trend,satellite_aerosol_proxy_score,satellite_aerosol_proxy_category,satellite_data_source,dispersion_index,dispersion_category,health_exposure_risk_score,health_exposure_risk_category,forecast_hotspot_risk_score,forecast_hotspot_risk_category,intervention_urgency_score,intervention_urgency_category,is_current_hotspot,is_forecast_hotspot,is_emerging_hotspot,hotspot_status,advanced_priority_score,advanced_priority_category,advanced_priority_rank,advanced_data_quality_flag,advanced_layer_note
bihar__patna__muradpur_patna_bspcb,"Muradpur, Patna - BSPCB",Patna,Bihar,25.619651,85.147382,2026-07-16 05:00:00,44.0,84.0,3.0,12.0,54.0,10.0,5.0,500.0,Severe,CO,True,Valid AQI,32.2,71,0.0,7.2,100,80.67,Very high trapping,Dense urban proxy,Proxy from station/city naming,60,55,82.98,1.9090909090909087,0.5238095238095238,0.0555555555555555,3.333333333333333,47.08,21.08,37.19,42.26,33.73,Vehicular traffic,47.08,42.26,4.82,34.4,Low confidence,elevated NO2/CO signal; road-density or urban-pressure influence; traffic/commercial land-use proxy,Aligned,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",2026-07-16 10:55:13,2026-07-16 04:00:00,498.7225361337761,448.14880642402585,498.7225361337761,500.0,Severe,500.0,Severe,Severe,-1.2774638662239113,Stable,28.39,Low,Proxy derived from ground pollutants and meteorology; not direct satellite imagery,79.67,High,75.33,High,78.26,High,67.69,High,1,1,0,Critical forecast hotspot,69.13,High,10,Usable,"Advanced intelligence layer combines real AQI, forecasted AQI, pollutant signals, meteorological dispersion, source attribution, and intervention scoring."
bihar__chhapra__darshan_nagar_chhapra_bspcb,"Darshan Nagar, Chhapra - BSPCB",Chhapra,Bihar,25.7808257,84.7446768,2026-07-16 05:00:00,72.0,111.0,2.0,21.0,85.0,3.0,11.0,500.0,Severe,CO,True,Valid AQI,32.4,68,0.0,11.5,100,71.79,High trapping,General urban / semi-urban proxy,Proxy from station/city naming,15,20,58.54,1.5416666666666667,0.6486486486486487,0.0235294117647058,1.5,16.82,20.74,26.82,48.96,24.69,Biomass / fine-particle combustion,48.96,26.82,22.14,40.91,Moderate confidence,PM2.5-heavy fine-particle pattern; CO and stagnant-weather influence; high weather trapping,Partially aligned,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",2026-07-16 10:55:13,2026-07-16 04:00:00,499.99923391155386,449.4255042018036,499.99923391155386,500.0,Severe,500.0,Severe,Severe,-0.0007660884461415662,Stable,38.92,Low,Proxy derived from ground pollutants and meteorology; not direct satellite imagery,65.14,High,76.49,High,78.39,High,67.28,High,1,1,0,Critical forecast hotspot,68.85,High,11,Usable,"Advanced intelligence layer combines real AQI, forecasted AQI, pollutant signals, meteorological dispersion, source attribution, and intervention scoring."
haryana__ambala__patti_mehar_ambala_hspcb,"Patti Mehar, Ambala - HSPCB",Ambala,Haryana,30.379589,76.778328,2026-07-16 05:00:00,99.0,135.0,6.0,39.0,54.0,37.0,8.0,500.0,Severe,CO,True,Valid AQI,33.5,59,0.0,6.7,14,68.57,High trapping,General urban / semi-urban proxy,Proxy from station/city naming,15,20,57.2,1.3636363636363635,0.7333333333333333,0.1111111111111111,6.166666666666667,11.82,23.9,27.0,46.7,35.71,Biomass / fine-particle combustion,46.7,35.71,10.99,35.99,Low confidence,PM2.5-heavy fine-particle pattern; CO and stagnant-weather influence; high weather trapping,Partially aligned,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",2026-07-16 10:55:13,2026-07-16 04:00:00,499.8574283559983,449.28369864624807,499.8574283559983,500.0,Severe,500.0,Severe,Severe,-0.1425716440016913,Stable,41.28,Moderate,Proxy derived from ground pollutants and meteorology; not direct satellite imagery,58.02,Moderate,78.46,High,77.61,High,66.68,High,1,1,0,Critical forecast hotspot,68.36,High,12,Usable,"Advanced intelligence layer combines real AQI, forecasted AQI, pollutant signals, meteorological dispersion, source attribution, and intervention scoring."
punjab__rupnagar__ratanpura_rupnagar_ambuja_cements,"Ratanpura, Rupnagar - Ambuja Cements",Rupnagar,Punjab,31.0325454,76.5623046,2026-07-16 05:00:00,106.0,68.0,27.0,12.0,50.0,,,500.0,Severe,CO,True,Valid AQI,33.9,57,0.0,2.7,4,74.07,High trapping,General urban / semi-urban proxy,Proxy from station/city naming,15,20,59.49,0.6415094339622641,1.5588235294117647,0.54,,16.38,16.38,16.99,54.94,0.0,Biomass / fine-particle combustion,54.94,16.99,37.95,49.84,Moderate confidence,PM2.5-heavy fine-particle pattern; CO and stagnant-weather influence; high weather trapping,Partially aligned,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",2026-07-16 10:55:13,2026-07-16 04:00:00,487.3468963782503,436.7731666685,487.3468963782503,500.0,Severe,500.0,Severe,Severe,-12.653103621749722,Stable,33.84,Low,Proxy derived from ground pollutants and meteorology; not direct satellite imagery,67.25,High,78.46,High,76.25,High,66.63,High,1,1,0,Critical forecast hotspot,68.18,High,13,Usable,"Advanced intelligence layer combines real AQI, forecasted AQI, pollutant signals, meteorological dispersion, source attribution, and intervention scoring."
bihar__bihar_sharif__d_m_colony_bihar_sharif_bspcb,"D M Colony, Bihar Sharif - BSPCB",Bihar Sharif,Bihar,25.204762,85.51496,2026-07-16 05:00:00,29.0,22.0,9.0,7.0,104.0,2.0,3.0,500.0,Severe,CO,True,Valid AQI,33.0,68,0.0,5.6,100,82.47,Very high trapping,General urban / semi-urban proxy,Proxy from station/city naming,15,20,62.99,0.7586206896551724,1.318181818181818,0.0865384615384615,0.2222222222222222,22.29,19.25,13.49,56.96,26.2,Biomass / fine-particle combustion,56.96,26.2,30.76,49.1,Moderate confidence,PM2.5-heavy fine-particle pattern; CO and stagnant-weather influence; high weather trapping,Partially aligned,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",2026-07-16 10:55:13,2026-07-16 04:00:00,499.9621589115538,449.3884292018036,499.9621589115538,500.0,Severe,500.0,Severe,Severe,-0.037841088446214144,Stable,22.74,Low,Proxy derived from ground pollutants and meteorology; not direct satellite imagery,83.15,Critical,72.13,High,77.5,High,66.07,High,1,1,0,Critical forecast hotspot,67.51,High,14,Usable,"Advanced intelligence layer combines real AQI, forecasted AQI, pollutant signals, meteorological dispersion, source attribution, and intervention scoring."
haryana__ballabgarh__nathu_colony_ballabgarh_hspcb,"Nathu Colony, Ballabgarh - HSPCB",Ballabgarh,Haryana,28.3419248,77.319699,2026-07-16 05:00:00,173.0,161.0,20.0,3.0,51.0,4.0,5.0,500.0,Severe,CO,True,Valid AQI,35.6,44,0.0,12.4,14,52.73,Moderate trapping,General urban / semi-urban proxy,Proxy from station/city naming,15,20,50.59,0.930635838150289,1.0745341614906831,0.392156862745098,0.2,14.79,11.84,31.81,51.19,35.5,Biomass / fine-particle combustion,51.19,35.5,15.69,40.54,Moderate confidence,PM2.5-heavy fine-particle pattern; CO and stagnant-weather influence,Partially aligned,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",2026-07-16 10:55:13,2026-07-16 04:00:00,486.4307297943184,435.8570000845682,486.4307297943184,500.0,Severe,500.0,Severe,Severe,-13.569270205681619,Stable,55.36,Moderate,Proxy derived from ground pollutants and meteorology; not direct satellite imagery,33.61,Low,83.62,Critical,75.41,High,65.5,High,1,1,0,Critical forecast hotspot,67.4,High,15,Usable,"Advanced intelligence layer combines real AQI, forecasted AQI, pollutant signals, meteorological dispersion, source attribution, and intervention scoring."
punjab__mandi_gobindgarh__rimt_university_mandi_gobindgarh_ppcb,"RIMT University, Mandi Gobindgarh - PPCB",Mandi Gobindgarh,Punjab,30.649961,76.331442,2026-07-16 05:00:00,93.0,117.0,24.0,26.0,50.0,39.0,5.0,500.0,Severe,CO,True,Valid AQI,33.5,60,0.1,5.7,21,65.19,High trapping,Industrial / mixed urban proxy,Proxy from station/city naming,35,30,64.31,1.2580645161290325,0.7948717948717948,0.48,1.625,23.57,44.95,27.47,35.12,39.06,Industrial combustion,44.95,39.06,5.89,33.23,Low confidence,SO2 and combustion-related pollutant influence; industrial land-use proxy,Aligned,"Immediate intervention: Increase industrial emission inspection, check stack compliance, enforce fuel-quality standards, and monitor nearby industrial clusters.",2026-07-16 10:55:13,2026-07-16 04:00:00,499.8770572440188,449.3033275342686,499.8770572440188,500.0,Severe,500.0,Severe,Severe,-0.12294275598122795,Stable,41.29,Moderate,Proxy derived from ground pollutants and meteorology; not direct satellite imagery,54.58,Moderate,78.01,High,76.93,High,65.66,High,1,1,0,Critical forecast hotspot,67.4,High,15,Usable,"Advanced intelligence layer combines real AQI, forecasted AQI, pollutant signals, meteorological dispersion, source attribution, and intervention scoring."
delhi__delhi__north_campus_du_delhi_iitm,"North Campus, DU, Delhi - IITM",Delhi,Delhi,28.6573814,77.1585447,2026-07-16 05:00:00,73.0,160.0,86.0,,82.0,24.0,,500.0,Severe,CO,True,Valid AQI,35.6,45,0.0,10.4,8,56.12,Moderate trapping,Dense urban proxy,Proxy from station/city naming,60,55,72.74,2.191780821917808,0.45625,1.048780487804878,0.2790697674418604,73.62,0.0,47.22,43.42,55.2,Vehicular traffic,73.62,55.2,18.42,57.06,Moderate confidence,elevated NO2/CO signal; road-density or urban-pressure influence; traffic/commercial land-use proxy,Aligned,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",2026-07-16 10:55:13,2026-07-16 04:00:00,499.9996769779674,449.4259472682172,499.9996769779674,500.0,Severe,500.0,Severe,Severe,-0.00032302203260314855,Stable,54.54,Moderate,Proxy derived from ground pollutants and meteorology; not direct satellite imagery,38.96,Low,77.16,High,77.49,High,65.1,High,1,1,0,Critical forecast hotspot,66.94,High,16,Usable,"Advanced intelligence layer combines real AQI, forecasted AQI, pollutant signals, meteorological dispersion, source attribution, and intervention scoring."
haryana__fatehabad__huda_sector_fatehabad_hspcb,"Huda Sector, Fatehabad - HSPCB",Fatehabad,Haryana,29.503664,75.467934,2026-07-16 05:00:00,139.0,153.0,19.0,70.0,48.0,31.0,14.0,487.55,Severe,CO,True,Valid AQI,36.0,45,0.0,10.6,20,56.96,Moderate trapping,Industrial / mixed urban proxy,Proxy from station/city naming,35,30,59.72,1.1007194244604317,0.9084967320261438,0.3958333333333333,1.631578947368421,21.91,60.92,35.87,37.26,43.03,Industrial combustion,60.92,43.03,17.89,48.01,Moderate confidence,SO2 and combustion-related pollutant influence; industrial land-use proxy,Aligned,"Immediate intervention: Increase industrial emission inspection, check stack compliance, enforce fuel-quality standards, and monitor nearby industrial clusters.",2026-07-16 10:55:13,2026-07-16 04:00:00,490.1712966693584,439.5975669596081,490.1712966693584,500.0,Severe,487.55,Severe,Severe,2.6212966693584008,Stable,50.52,Moderate,Proxy derived from ground pollutants and meteorology; not direct satellite imagery,40.8,Moderate,80.54,Critical,75.41,High,65.05,High,1,1,0,Critical forecast hotspot,66.86,High,17,Usable,"Advanced intelligence layer combines real AQI, forecasted AQI, pollutant signals, meteorological dispersion, source attribution, and intervention scoring."
bihar__rajgir__dangi_tola_rajgir_bspcb,"Dangi Tola, Rajgir - BSPCB",Rajgir,Bihar,25.0328,85.41948,2026-07-16 05:00:00,51.0,47.0,14.0,3.0,43.0,27.0,3.0,456.42,Severe,CO,True,Valid AQI,32.8,70,0.0,5.1,100,84.11,Very high trapping,General urban / semi-urban proxy,Proxy from station/city naming,15,20,59.62,0.9215686274509804,1.0851063829787233,0.3255813953488372,1.9285714285714288,11.71,9.66,16.18,46.28,30.12,Biomass / fine-particle combustion,46.28,30.12,16.16,37.24,Low confidence,PM2.5-heavy fine-particle pattern; CO and stagnant-weather influence; high weather trapping,Partially aligned,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",2026-07-16 10:55:13,2026-07-16 04:00:00,460.5568989166152,409.98316920686494,460.5568989166152,500.0,Severe,456.42,Severe,Severe,4.136898916615166,Stable,26.79,Low,Proxy derived from ground pollutants and meteorology; not direct satellite imagery,85.61,Critical,69.84,High,73.75,High,65.56,High,1,1,0,Critical forecast hotspot,66.59,High,18,Usable,"Advanced intelligence layer combines real AQI, forecasted AQI, pollutant signals, meteorological dispersion, source attribution, and intervention scoring."
